"","Date","Value"
"98328631",2017-08-27 08:53:13.565,12
"98328641",2017-08-27 08:53:13.569,12
"98328651",2017-08-27 08:53:13.575,14
"98328661",2017-08-27 08:53:13.579,16
"98328671",2017-08-27 08:53:13.585,18
"98328681",2017-08-27 08:53:13.589,19
"98328691",2017-08-27 08:53:13.595,19
"98328701",2017-08-27 08:53:13.599,21
"98328711",2017-08-27 08:53:13.605,24
"98328721",2017-08-27 08:53:13.609,26
"98328731",2017-08-27 08:53:13.615,27
"98328741",2017-08-27 08:53:13.619,29
"98328751",2017-08-27 08:53:13.625,31
"98328761",2017-08-27 08:53:13.630,30
"98328771",2017-08-27 08:53:13.634,28
"98328781",2017-08-27 08:53:13.640,29
"98328791",2017-08-27 08:53:13.644,30
"98328801",2017-08-27 08:53:13.650,30
"98328811",2017-08-27 08:53:13.654,28
"98328821",2017-08-27 08:53:13.660,25
"98328831",2017-08-27 08:53:13.664,21
"98328841",2017-08-27 08:53:13.670,16
"98328851",2017-08-27 08:53:13.674,10
"98328861",2017-08-27 08:53:13.680,5
"98328871",2017-08-27 08:53:13.684,0
"98328881",2017-08-27 08:53:13.690,-2
"98328891",2017-08-27 08:53:13.694,-3
"98328901",2017-08-27 08:53:13.700,-6
"98328911",2017-08-27 08:53:13.704,-10
"98328921",2017-08-27 08:53:13.710,-12
"98328931",2017-08-27 08:53:13.714,-14
"98328941",2017-08-27 08:53:13.720,-16
"98328951",2017-08-27 08:53:13.724,-15
"98328961",2017-08-27 08:53:13.730,-14
"98328971",2017-08-27 08:53:13.734,-14
"98328981",2017-08-27 08:53:13.740,-14
"98328991",2017-08-27 08:53:13.744,-15
"98329001",2017-08-27 08:53:13.750,-16
"98329011",2017-08-27 08:53:13.755,-14
"98329021",2017-08-27 08:53:13.759,-13
"98329031",2017-08-27 08:53:13.765,-14
"98329041",2017-08-27 08:53:13.769,-14
"98329051",2017-08-27 08:53:13.775,-13
"98329061",2017-08-27 08:53:13.779,-15
"98329071",2017-08-27 08:53:13.785,-15
"98329081",2017-08-27 08:53:13.789,-14
"98329091",2017-08-27 08:53:13.795,-14
"98329101",2017-08-27 08:53:13.799,-13
"98329111",2017-08-27 08:53:13.805,-10
"98329121",2017-08-27 08:53:13.809,-11
"98329131",2017-08-27 08:53:13.815,-12
"98329141",2017-08-27 08:53:13.819,-11
"98329151",2017-08-27 08:53:13.825,-10
"98329161",2017-08-27 08:53:13.829,-10
"98329171",2017-08-27 08:53:13.835,-10
"98329181",2017-08-27 08:53:13.839,-10
"98329191",2017-08-27 08:53:13.845,-11
"98329201",2017-08-27 08:53:13.849,-10
"98329211",2017-08-27 08:53:13.855,-9
"98329221",2017-08-27 08:53:13.859,-9
"98329231",2017-08-27 08:53:13.865,-10
"98329241",2017-08-27 08:53:13.869,-12
"98329251",2017-08-27 08:53:13.875,-13
"98329261",2017-08-27 08:53:13.880,-12
"98329271",2017-08-27 08:53:13.884,-10
"98329281",2017-08-27 08:53:13.890,-10
"98329291",2017-08-27 08:53:13.894,-9
"98329301",2017-08-27 08:53:13.900,-9
"98329311",2017-08-27 08:53:13.904,-9
"98329321",2017-08-27 08:53:13.910,-10
"98329331",2017-08-27 08:53:13.914,-12
"98329341",2017-08-27 08:53:13.920,-11
"98329351",2017-08-27 08:53:13.924,-9
"98329361",2017-08-27 08:53:13.930,-12
"98329371",2017-08-27 08:53:13.934,-13
"98329381",2017-08-27 08:53:13.940,-11
"98329391",2017-08-27 08:53:13.944,-12
"98329401",2017-08-27 08:53:13.950,-12
"98329411",2017-08-27 08:53:13.954,-10
"98329421",2017-08-27 08:53:13.960,-10
"98329431",2017-08-27 08:53:13.964,-12
"98329441",2017-08-27 08:53:13.970,-13
"98329451",2017-08-27 08:53:13.974,-12
"98329461",2017-08-27 08:53:13.980,-11
"98329471",2017-08-27 08:53:13.984,-9
"98329481",2017-08-27 08:53:13.990,-7
"98329491",2017-08-27 08:53:13.994,-5
"98329501",2017-08-27 08:53:14.000,-5
"98329511",2017-08-27 08:53:14.005,-4
"98329521",2017-08-27 08:53:14.009,-2
"98329531",2017-08-27 08:53:14.015,-1
"98329541",2017-08-27 08:53:14.019,-3
"98329551",2017-08-27 08:53:14.025,-6
"98329561",2017-08-27 08:53:14.029,-9
"98329571",2017-08-27 08:53:14.035,-11
"98329581",2017-08-27 08:53:14.039,-10
"98329591",2017-08-27 08:53:14.045,-9
"98329601",2017-08-27 08:53:14.049,-8
"98329611",2017-08-27 08:53:14.055,-6
"98329621",2017-08-27 08:53:14.059,9
"98329631",2017-08-27 08:53:14.065,41
"98329641",2017-08-27 08:53:14.069,76
"98329651",2017-08-27 08:53:14.075,87
"98329661",2017-08-27 08:53:14.079,61
"98329671",2017-08-27 08:53:14.085,16
"98329681",2017-08-27 08:53:14.089,-9
"98329691",2017-08-27 08:53:14.095,-8
"98329701",2017-08-27 08:53:14.099,3
"98329711",2017-08-27 08:53:14.105,9
"98329721",2017-08-27 08:53:14.109,8
"98329731",2017-08-27 08:53:14.115,9
"98329741",2017-08-27 08:53:14.119,10
"98329751",2017-08-27 08:53:14.125,9
"98329761",2017-08-27 08:53:14.130,6
"98329771",2017-08-27 08:53:14.134,2
"98329781",2017-08-27 08:53:14.140,1
"98329791",2017-08-27 08:53:14.144,2
"98329801",2017-08-27 08:53:14.150,2
"98329811",2017-08-27 08:53:14.154,2
"98329821",2017-08-27 08:53:14.160,2
"98329831",2017-08-27 08:53:14.164,2
"98329841",2017-08-27 08:53:14.170,5
"98329851",2017-08-27 08:53:14.174,6
"98329861",2017-08-27 08:53:14.180,6
"98329871",2017-08-27 08:53:14.184,6
"98329881",2017-08-27 08:53:14.190,6
"98329891",2017-08-27 08:53:14.194,6
"98329901",2017-08-27 08:53:14.200,7
"98329911",2017-08-27 08:53:14.204,8
"98329921",2017-08-27 08:53:14.210,8
"98329931",2017-08-27 08:53:14.214,8
"98329941",2017-08-27 08:53:14.220,8
"98329951",2017-08-27 08:53:14.224,9
"98329961",2017-08-27 08:53:14.230,9
"98329971",2017-08-27 08:53:14.234,9
"98329981",2017-08-27 08:53:14.240,12
"98329991",2017-08-27 08:53:14.244,13
"98330001",2017-08-27 08:53:14.250,15
"98330011",2017-08-27 08:53:14.255,15
"98330021",2017-08-27 08:53:14.259,17
"98330031",2017-08-27 08:53:14.265,20
"98330041",2017-08-27 08:53:14.269,23
"98330051",2017-08-27 08:53:14.275,24
"98330061",2017-08-27 08:53:14.279,25
"98330071",2017-08-27 08:53:14.285,26
"98330081",2017-08-27 08:53:14.289,26
"98330091",2017-08-27 08:53:14.295,27
"98330101",2017-08-27 08:53:14.299,29
"98330111",2017-08-27 08:53:14.305,29
"98330121",2017-08-27 08:53:14.309,28
"98330131",2017-08-27 08:53:14.315,27
"98330141",2017-08-27 08:53:14.319,26
"98330151",2017-08-27 08:53:14.325,23
"98330161",2017-08-27 08:53:14.329,21
"98330171",2017-08-27 08:53:14.335,18
"98330181",2017-08-27 08:53:14.339,13
"98330191",2017-08-27 08:53:14.345,8
"98330201",2017-08-27 08:53:14.349,3
"98330211",2017-08-27 08:53:14.355,-2
"98330221",2017-08-27 08:53:14.359,-7
"98330231",2017-08-27 08:53:14.365,-10
"98330241",2017-08-27 08:53:14.369,-11
"98330251",2017-08-27 08:53:14.375,-13
"98330261",2017-08-27 08:53:14.380,-15
"98330271",2017-08-27 08:53:14.384,-16
"98330281",2017-08-27 08:53:14.390,-16
"98330291",2017-08-27 08:53:14.394,-17
"98330301",2017-08-27 08:53:14.400,-19
"98330311",2017-08-27 08:53:14.404,-19
"98330321",2017-08-27 08:53:14.410,-17
"98330331",2017-08-27 08:53:14.414,-14
"98330341",2017-08-27 08:53:14.420,-15
"98330351",2017-08-27 08:53:14.424,-16
"98330361",2017-08-27 08:53:14.430,-17
"98330371",2017-08-27 08:53:14.434,-16
"98330381",2017-08-27 08:53:14.440,-15
"98330391",2017-08-27 08:53:14.444,-15
"98330401",2017-08-27 08:53:14.450,-15
"98330411",2017-08-27 08:53:14.454,-16
"98330421",2017-08-27 08:53:14.460,-15
"98330431",2017-08-27 08:53:14.464,-13
"98330441",2017-08-27 08:53:14.470,-13
"98330451",2017-08-27 08:53:14.474,-14
"98330461",2017-08-27 08:53:14.480,-15
"98330471",2017-08-27 08:53:14.484,-14
"98330481",2017-08-27 08:53:14.490,-11
"98330491",2017-08-27 08:53:14.494,-10
"98330501",2017-08-27 08:53:14.500,-13
"98330511",2017-08-27 08:53:14.505,-14
"98330521",2017-08-27 08:53:14.509,-13
"98330531",2017-08-27 08:53:14.515,-11
"98330541",2017-08-27 08:53:14.519,-11
"98330551",2017-08-27 08:53:14.525,-13
"98330561",2017-08-27 08:53:14.529,-15
"98330571",2017-08-27 08:53:14.535,-15
"98330581",2017-08-27 08:53:14.539,-15
"98330591",2017-08-27 08:53:14.545,-13
"98330601",2017-08-27 08:53:14.549,-11
"98330611",2017-08-27 08:53:14.555,-10
"98330621",2017-08-27 08:53:14.559,-10
"98330631",2017-08-27 08:53:14.565,-11
"98330641",2017-08-27 08:53:14.569,-12
"98330651",2017-08-27 08:53:14.575,-11
"98330661",2017-08-27 08:53:14.579,-12
"98330671",2017-08-27 08:53:14.585,-12
